nu,seed,Method,L1,Linf,E_SG_T4,E_mean_max_0_4,E_mean_final_T4,E_mean_argmax_time,SG_points,SG_fraction,SG_threshold,final_abs_error_p95,final_abs_error_p99,Time,N_native,N_eval,native_substeps,traditional_substeps,nn_substeps,source_treatment,RefTime,model_path
0.0,1822,WENO-Z (1000),0.0007493255543522537,0.0426630973815918,0.03709512948989868,7.05719003235572e-07,4.3869019350495364e-07,2.448,4,0.02,9.11227035522461,1.0207296327280346e-05,0.03171973675489426,0.052164316177368164,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,FVM (2000),0.0018261063378304243,0.03865242004394531,0.024246931076049805,5.340576194612368e-07,2.8610230629055877e-07,2.2880000000000003,4,0.02,9.11227035522461,0.0025534273590892553,0.024742191657423973,0.09327173233032227,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,WENO-Z (2000),0.00014072383055463433,0.008786439895629883,0.006607234477996826,5.531310875994677e-07,2.0980834847250662e-07,2.368,4,0.02,9.11227035522461,2.0700697859865613e-05,0.004623448476195335,0.0975351333618164,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,Ours (200),0.0007089650607667863,0.05462515354156494,0.01559188961982727,5.340576194612368e-07,1.1444092251622351e-07,2.464,4,0.02,9.11227035522461,0.0012694451725110412,0.0034960259217768908,0.2232813835144043,200,200,2,0,2,train_py_original_ours_protocol,0.25176095962524414,code/model_fixed.pkl
0.0,1823,FVM (200),0.027397464960813522,0.8284188508987427,0.7146517038345337,3.254413513786858e-06,3.254413513786858e-06,4.0,2,0.01,10.729540824890137,0.10960778594017029,0.16308128833770752,0.013192415237426758,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
0.0,1823,WENO-Z (200),0.00544174388051033,0.45331907272338867,0.4518929719924927,3.1495094390265876e-06,3.1495094390265876e-06,4.0,2,0.01,10.729540824890137,0.002293260535225272,0.059412240982055664,0.013617753982543945,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
0.0,1823,FVM (400),0.014740323647856712,0.4518231153488159,0.3799264430999756,3.166198666804121e-06,3.166198666804121e-06,4.0,2,0.01,10.729540824890137,0.05427753925323486,0.1405646800994873,0.020390033721923828,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
0.0,1823,WENO-Z (400),0.0023553723003715277,0.21449267864227295,0.21445411443710327,3.1948088690114673e-06,3.1948088690114673e-06,4.0,2,0.01,10.729540824890137,5.140308348927647e-05,0.02002822980284691,0.033197641372680664,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
0.0,1823,FVM (800),0.007605644408613443,0.21199333667755127,0.17628806829452515,2.791881570374244e-06,2.791881570374244e-06,4.0,2,0.01,10.729540824890137,0.02818911336362362,0.1105884462594986,0.031113862991333008,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
0.0,1823,WENO-Z (800),0.0009636619943194091,0.09263026714324951,0.09247010946273804,2.9754639854218112e-06,2.9754639854218112e-06,4.0,2,0.01,10.729540824890137,2.2655725842923857e-05,0.003832912538200617,0.059967756271362305,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
0.0,1823,FVM (1000),0.006084891967475414,0.16427898406982422,0.13567256927490234,2.6869774956139736e-06,2.6869774956139736e-06,4.0,2,0.01,10.729540824890137,0.020308373495936394,0.09860781580209732,0.056609392166137695,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
0.0,1823,WENO-Z (1000),0.0007073446176946163,0.06887423992156982,0.06859636306762695,2.7990340640826616e-06,2.7990340640826616e-06,4.0,2,0.01,10.729540824890137,2.1225214368314482e-05,0.001956930384039879,0.05249142646789551,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.24639534950256348,
