Cell-Center Velocity Error Report
Input NetCDF: fno_predictions_30cases_20steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: FNO
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
245     6.7280e-03    3.4242e-03    3.0477e-03    1.7361e-03    
246     6.7818e-03    3.6111e-03    3.0850e-03    1.8162e-03    
247     6.8490e-03    3.7212e-03    3.0852e-03    1.8041e-03    
248     6.8679e-03    3.7757e-03    3.0187e-03    1.8417e-03    
249     6.8441e-03    3.7167e-03    2.9869e-03    1.8726e-03    
250     6.7529e-03    3.5552e-03    3.0513e-03    1.8433e-03    
251     6.6584e-03    3.4720e-03    3.1255e-03    1.8496e-03    
252     6.5734e-03    3.5170e-03    3.1742e-03    1.8429e-03    
253     6.5447e-03    3.6020e-03    3.2098e-03    1.8712e-03    
254     6.5999e-03    3.6951e-03    3.1365e-03    1.8405e-03    
255     6.7006e-03    3.7825e-03    3.1010e-03    1.8553e-03    
256     6.8019e-03    3.8128e-03    3.0364e-03    1.7992e-03    
257     6.8672e-03    3.7574e-03    3.0592e-03    1.7277e-03    
258     6.8501e-03    3.7004e-03    3.0510e-03    1.6462e-03    
259     6.7825e-03    3.6630e-03    3.0549e-03    1.6444e-03    
260     6.7481e-03    3.6376e-03    3.0196e-03    1.6035e-03    
261     6.7329e-03    3.6167e-03    3.0305e-03    1.5902e-03    
262     6.7169e-03    3.6207e-03    3.0620e-03    1.5642e-03    
263     6.6822e-03    3.6417e-03    3.0597e-03    1.5493e-03    
264     6.6610e-03    3.6867e-03    3.0070e-03    1.5626e-03    
265     6.6741e-03    3.7356e-03    3.0233e-03    1.5298e-03    
266     6.6920e-03    3.7364e-03    3.0753e-03    1.4754e-03    
267     6.7113e-03    3.7153e-03    3.0568e-03    1.4756e-03    
268     6.7362e-03    3.6798e-03    3.0704e-03    1.4544e-03    
269     6.7327e-03    3.5873e-03    3.0648e-03    1.4151e-03    
