Cell-Center Velocity Error Report
Input NetCDF: gnot_predictions_30cases_400steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: GNOT
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
318     4.6983e-03    2.4781e-03    2.2557e-03    9.9077e-04    
319     4.6645e-03    2.4224e-03    2.2950e-03    1.0137e-03    
320     4.6221e-03    2.3554e-03    2.3283e-03    9.8103e-04    
321     4.5953e-03    2.3002e-03    2.2903e-03    9.9485e-04    
322     4.5714e-03    2.2776e-03    2.3019e-03    1.0447e-03    
323     4.5487e-03    2.2922e-03    2.3797e-03    1.1384e-03    
324     4.5299e-03    2.3215e-03    2.4295e-03    1.1537e-03    
325     4.5597e-03    2.3457e-03    2.3590e-03    1.1391e-03    
326     4.6228e-03    2.3761e-03    2.5916e-03    1.2726e-03    
327     4.6618e-03    2.3917e-03    2.5981e-03    1.2417e-03    
328     4.7024e-03    2.4072e-03    2.5344e-03    1.2628e-03    
329     4.6805e-03    2.3996e-03    2.5777e-03    1.2435e-03    
330     4.5715e-03    2.3387e-03    2.5100e-03    1.1923e-03    
331     4.4869e-03    2.2770e-03    2.4315e-03    1.1086e-03    
332     4.4269e-03    2.2707e-03    2.3627e-03    1.0819e-03    
333     4.4265e-03    2.3229e-03    2.4276e-03    1.1979e-03    
334     4.4545e-03    2.3958e-03    2.4502e-03    1.2042e-03    
335     4.4893e-03    2.4746e-03    2.4093e-03    1.2272e-03    
336     4.5181e-03    2.5224e-03    2.4380e-03    1.2905e-03    
337     4.5515e-03    2.4893e-03    2.4806e-03    1.2721e-03    
338     4.5413e-03    2.4100e-03    2.4427e-03    1.3284e-03    
339     4.5177e-03    2.3807e-03    2.4991e-03    1.3936e-03    
340     4.5672e-03    2.3959e-03    2.5969e-03    1.3869e-03    
341     4.6393e-03    2.4471e-03    2.6034e-03    1.3468e-03    
342     4.6934e-03    2.5078e-03    2.5464e-03    1.3498e-03    
343     4.7165e-03    2.5330e-03    2.5021e-03    1.1670e-03    
344     4.7427e-03    2.5012e-03    2.4525e-03    1.2226e-03    
345     4.7144e-03    2.4676e-03    2.4554e-03    1.2339e-03    
346     4.6779e-03    2.4573e-03    2.4136e-03    1.2063e-03    
347     4.6443e-03    2.4750e-03    2.3307e-03    1.1495e-03    
348     4.6384e-03    2.4987e-03    2.3459e-03    1.1245e-03    
349     4.6352e-03    2.4932e-03    2.3978e-03    1.0785e-03    
350     4.6134e-03    2.4699e-03    2.4574e-03    1.0706e-03    
351     4.5971e-03    2.4083e-03    2.4602e-03    1.0401e-03    
352     4.5705e-03    2.3571e-03    2.5215e-03    1.0685e-03    
353     4.5601e-03    2.3320e-03    2.4632e-03    1.0496e-03    
354     4.5574e-03    2.3447e-03    2.5781e-03    1.0660e-03    
355     4.5421e-03    2.3455e-03    2.5500e-03    1.0895e-03    
