Method,Seed,HCT_0.95,HCT_0.80,HCT_0.95_steps,HCT_0.80_steps
Ours_base,12,7.503357453886336,10.30835089459151,107.0,147.0
Ours_base,13,7.15273327379819,7.924106469992112,102.0,113.0
Ours_base,14,7.363107781851077,10.23822605857388,105.0,146.0
Ours_base,15,8.064356142027371,9.747352206450474,115.0,139.0
Ours_base,16,6.942358765745301,9.046103846274182,99.0,129.0
Ours_base,17,6.10086073353375,9.607102534415215,87.0,137.0
Ours_base,18,7.643607125921595,8.975979010256552,109.0,128.0
Ours_base,19,5.189237865304569,6.521609749639526,74.0,93.0
Ours_base,20,6.521609749639526,8.695479666186035,93.0,124.0
Ours_base,21,7.503357453886336,9.18635351830944,107.0,131.0
Ours_base,22,5.539862045392716,7.292982945833448,79.0,104.0
Ours_base,23,6.030735897516121,7.363107781851077,86.0,105.0
Ours_base,24,6.872233929727672,9.18635351830944,98.0,131.0
Ours_base,25,5.259362701322198,6.2411104055690085,75.0,89.0
Ours_base,26,6.521609749639526,7.924106469992112,93.0,113.0
Ours_base,27,7.713731961939224,9.256478354327069,110.0,132.0
Ours_base,28,6.451484913621897,8.625354830168405,92.0,123.0
Ours_base,29,7.363107781851077,9.3266031903447,105.0,133.00000000000003
Ours_base,30,7.012483601762931,9.957726714503362,100.0,142.0
Ours_base,31,6.802109093710043,8.064356142027371,97.0,115.0
unet_fno_add_features,0,5.680111717427974,6.942358765745301,81.0,99.0
unet_fno_add_features,1,5.399612373357457,6.731984257692414,77.0,96.0
unet_fno_add_features,2,4.908738521234052,6.10086073353375,70.0,87.0
unet_fno_add_features,3,5.960611061498492,7.924106469992112,85.0,113.0
unet_fno_add_features,4,5.469737209375087,7.503357453886336,78.00000000000001,107.0
unet_fno_add_features,5,6.521609749639526,8.905854174238922,93.0,127.0
unet_fno_add_features,6,6.802109093710043,7.994231306009741,97.0,114.0
unet_fno_add_features,7,6.521609749639526,7.573482289903966,93.0,108.0
unet_fno_add_features,8,5.890486225480862,7.573482289903966,84.0,108.0
unet_fno_add_features,9,4.978863357251681,6.10086073353375,71.0,87.0
unet_fno_add_features,10,6.731984257692414,7.924106469992112,96.0,113.0
unet_fno_add_features,11,5.960611061498492,7.573482289903966,85.0,108.0
unet_fno_add_features,12,6.311235241586638,7.994231306009741,90.0,114.0
unet_fno_add_features,13,5.469737209375087,7.222858109815819,78.00000000000001,103.0
unet_fno_add_features,14,6.451484913621897,7.783856797956854,92.0,111.0
unet_fno_add_features,15,6.2411104055690085,8.695479666186035,89.0,124.0
unet_fno_add_features,16,4.978863357251681,7.15273327379819,71.0,102.0
unet_fno_add_features,17,5.609986881410345,8.20460581406263,80.0,117.0
unet_fno_add_features,18,5.890486225480862,7.503357453886336,84.0,107.0
unet_fno_add_features,19,5.04898819326931,6.311235241586638,72.0,90.0
unet_fno_add_features,20,4.417864669110647,6.872233929727672,63.0,98.0
unet_fno_add_features,21,3.9269908169872414,6.10086073353375,56.0,87.0
unet_fno_add_features,22,5.469737209375087,6.030735897516121,78.00000000000001,86.0
unet_fno_add_features,23,4.908738521234052,6.591734585657155,70.0,94.0
unet_fno_add_features,24,5.750236553445603,7.292982945833448,82.0,104.0
unet_fno_add_features,25,6.030735897516121,7.292982945833448,86.0,104.0
unet_fno_add_features,26,5.609986881410345,6.802109093710043,80.0,97.0
unet_fno_add_features,27,6.521609749639526,8.20460581406263,93.0,117.0
unet_fno_add_features,28,6.311235241586638,8.765604502203663,90.0,125.0
unet_fno_add_features,29,6.731984257692414,8.344855486097888,96.0,119.0
unet_fno_add_features,30,6.311235241586638,8.134480978045,90.0,116.0
unet_fno_add_features,31,6.2411104055690085,7.853981633974483,89.0,112.0
pure_unet_fno,0,4.838613685216423,5.890486225480862,69.0,84.0
pure_unet_fno,1,4.908738521234052,5.680111717427974,70.0,81.0
